Product,Total_Revenue,Total_Quantity,Total_Invoices,Avg_UnitPrice
DAIRY MAID  PUDDING BOWL,18.75,5,2,3.75
DAIRY MAID LARGE MILK JUG,1879.18,370,155,5.459615384615385
DAIRY MAID STRIPE MUG,1720.3000000000002,1906,82,1.101219512195122
DAIRY MAID TOASTRACK,769.57,777,104,1.614952380952381
DAIRY MAID TRADITIONAL TEAPOT ,1557.57,215,111,7.704774774774775
DAISIES  HONEYCOMB GARLAND ,868.4399999999999,499,85,1.9561176470588233
DAISY FOLKART HEART DECORATION,120.0,96,16,1.25
DAISY GARDEN MARKER,1658.57,1139,98,1.7758163265306122
DAISY HAIR BAND,140.32999999999998,85,37,1.652162162162162
DAISY HAIR COMB,47.839999999999996,19,11,2.502727272727273
DAISY JOURNAL ,217.55999999999997,80,34,2.7467647058823528
DAISY NOTEBOOK ,233.54,134,63,1.7179687499999998
DAISY SKETCHBOOK ,205.04,73,27,3.9829629629629633
DANISH ROSE BEDSIDE CABINET,519.35,13,10,39.95
DANISH ROSE DECORATIVE PLATE,710.64,951,55,1.4351785714285714
DANISH ROSE DELUXE COASTER,407.15,935,40,0.614390243902439
DANISH ROSE FOLDING CHAIR,890.4000000000001,112,25,7.95
DANISH ROSE PHOTO FRAME,1460.81,1423,99,1.3489898989898987
DANISH ROSE ROUND SEWING BOX,951.79,811,62,2.2196774193548388
DANISH ROSE TRINKET TRAYS,483.05,259,31,3.877741935483871
DANISH ROSE UMBRELLA STAND,31.9,2,2,15.95
DARK BIRD HOUSE TREE DECORATION,589.55,1483,142,0.6625174825174824
DECORATION  BUTTERFLY  MAGIC GARDEN,730.9499999999999,819,147,1.0487837837837837
DECORATION  PINK CHICK MAGIC GARDEN,525.09,593,109,1.0403603603603602
"DECORATION , WOBBLY CHICKEN, METAL ",397.71999999999997,234,35,1.9820000000000002
"DECORATION , WOBBLY RABBIT , METAL ",518.03,293,48,2.13125
"DECORATION HEN ON NEST, HANGING",74.42999999999999,42,6,2.505
DECORATION SITTING BUNNY,349.54,1480,83,0.422
DECORATION WHITE CHICK MAGIC GARDEN,812.86,928,145,1.007364864864865
DECORATION WOBBLY CHICKEN,319.14,560,45,1.181111111111111
DECORATION WOBBLY RABBIT METAL ,504.46,830,67,1.225820895522388
DECORATIVE CATS BATHROOM BOTTLE,1152.4,1095,186,1.9209625668449197
DECORATIVE FLORE BATHROOM BOTTLE,716.86,515,139,1.8763309352517985
DECORATIVE HANGING SHELVING UNIT,359.70000000000005,6,5,59.95
DECORATIVE PLANT POT WITH FRIEZE,584.37,73,28,8.479285714285714
DECORATIVE ROSE BATHROOM BOTTLE,1154.17,1170,163,1.7692073170731706
DECORATIVE VINTAGE COFFEE  BOX,277.0,52,22,6.240909090909091
DECORATIVE WICKER HEART LARGE,3038.1899999999996,1767,233,1.7691199999999998
DECORATIVE WICKER HEART MEDIUM,2286.97,1794,216,1.3630044843049327
DECORATIVE WICKER HEART SMALL,1062.28,1596,109,0.781578947368421
"DECOUPAGE,GREETING CARD,",158.63,357,32,0.5371874999999999
DECROTIVEVINTAGE COFFEE GRINDER BOX,71.08,12,6,6.896666666666666
DELUXE SEWING KIT ,9893.0,1411,328,7.752151515151516
DENIM PATCH PURSE PINK BUTTERFLY,357.28999999999996,216,61,1.670327868852459
DIAMANTE BOW BROOCH BLACK COLOUR,58.03,9,5,6.438
DIAMANTE BOW BROOCH GREEN COLOUR,193.2,30,18,6.483333333333333
DIAMANTE BOW BROOCH RED COLOUR,158.75,25,10,6.35
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,26.52,16,10,1.6619999999999997
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,74.53,45,27,1.6588888888888889
DIAMANTE HAIR GRIP PACK/2 LT ROSE,34.69,21,14,1.6528571428571428
DIAMANTE HAIR GRIP PACK/2 MONTANA,24.79,15,10,1.654
DIAMANTE HAIR GRIP PACK/2 PERIDOT,41.449999999999996,25,19,1.6605263157894736
DIAMANTE HAIR GRIP PACK/2 RUBY,41.37,25,15,1.6553333333333333
"DIAMANTE HEART SHAPED WALL MIRROR, ",3328.2,415,146,11.87312925170068
DIAMANTE NECKLACE,23.32,3,2,7.91
DIAMANTE NECKLACE BLACK ,30.12,4,3,7.54
DIAMANTE NECKLACE GREEN,29.98,4,3,7.493333333333333
DIAMANTE NECKLACE PURPLE,52.5,7,4,7.5
DIAMANTE RING ASSORTED IN BOX.,1311.3600000000001,1008,22,1.3472727272727274
DIAMOND LAS VEGAS NECKLACE 45CM,70.97,12,8,5.91375
DINOSAUR HEIGHT CHART STICKER SET,568.98,182,46,3.5830434782608696
DINOSAUR KEYRINGS ASSORTED,1460.74,6765,177,0.26303370786516855
DINOSAUR LUNCH BOX WITH CUTLERY,3127.38,1281,213,3.0350467289719627
DINOSAUR PARTY BAG + STICKER SET,1160.7099999999998,707,101,1.7907843137254902
DINOSAURS  WRITING SET ,1723.6899999999998,941,287,2.1594791666666664
DISCO BALL CHRISTMAS DECORATION,1501.4,12883,215,0.16444954128440367
DISCO BALL ROTATOR BATTERY OPERATED,1055.25,249,105,4.245238095238095
DO NOT TOUCH MY STUFF DOOR HANGER ,680.55,1196,127,1.0219847328244274
DOCTOR'S BAG SOFT TOY,1765.3999999999999,184,72,10.123333333333333
DOG AND BALL WALL ART,425.87999999999994,252,4,2.26
DOG BOWL CHASING BALL DESIGN,5381.5199999999995,1366,131,4.129848484848485
DOG BOWL VINTAGE CREAM,1757.8799999999999,390,125,4.6368
DOG LICENCE WALL ART,2081.64,408,29,5.745172413793104
DOG TOY WITH PINK CROCHET SKIRT,709.71,187,90,3.844
DOGGY RUBBER,40.32,192,29,0.21
DOILEY BISCUIT TIN,327.6,120,13,2.8592307692307695
DOILEY STORAGE TIN,3004.46,1094,122,3.103008130081301
DOILY THANK YOU CARD,313.24,741,57,0.5042105263157894
DOLLCRAFT BOY JEAN-PAUL ,373.9,82,12,4.883333333333334
DOLLCRAFT GIRL AMELIE,178.2,36,8,4.95
DOLLCRAFT GIRL AMELIE KIT,294.7,66,8,4.8500000000000005
DOLLCRAFT GIRL NICOLE,336.6,68,12,4.95
DOLLY CABINET 2 DRAWERS ,412.5,33,19,12.5
DOLLY CABINET 3 DRAWERS ,762.4499999999999,51,30,14.95
DOLLY GIRL BABY GIFT SET,6719.61,433,133,16.12609022556391
DOLLY GIRL CHILDRENS BOWL,2013.7,1622,191,1.5367708333333334
DOLLY GIRL CHILDRENS CUP,2059.03,1634,195,1.5237244897959183
DOLLY GIRL CHILDRENS EGG CUP,1252.61,950,135,1.4786029411764705
DOLLY GIRL LUNCH BOX,21609.789999999997,11780,850,2.3315268065268064
DOLLY GIRL MINI BACKPACK,2992.3900000000003,739,161,4.392682926829269
DOLLY GIRL MINI RUCKSACK,33.2,8,2,4.15
DOLLY GIRL WALL ART,1055.94,318,11,3.6090909090909093
DOLLY HONEYCOMB GARLAND,485.46,474,25,1.7524000000000002
DOLLY MIXTURE CHILDREN'S UMBRELLA,922.67,267,77,3.8718181818181816
DOLPHIN WINDMILL,2.12,1,1,2.12
DONKEY TAIL GAME ,189.54000000000002,54,4,3.66
DOOR HANGER  MUM + DADS ROOM,330.71999999999997,205,66,1.8424242424242423
DOORKNOB CERAMIC IVORY,52.199999999999996,36,1,1.45
DOORKNOB CRACKED GLAZE BLUE,238.49999999999997,162,3,1.5833333333333333
DOORKNOB CRACKED GLAZE GREEN,19.799999999999997,12,2,1.65
DOORKNOB CRACKED GLAZE IVORY,258.29999999999995,174,5,1.6099999999999999
DOORKNOB CRACKED GLAZE PINK,19.799999999999997,12,2,1.65
DOORMAT 3 SMILEY CATS,7708.48,1172,233,9.613290598290599
DOORMAT AIRMAIL ,6034.9,800,220,9.812318181818181
DOORMAT BLACK FLOCK ,10253.61,1814,195,8.510205128205127
DOORMAT CHRISTMAS VILLAGE,3354.22,590,52,11.319807692307693
DOORMAT ENGLISH ROSE ,14300.15,2035,407,8.640073710073711
DOORMAT FAIRY CAKE,23872.91,3615,365,10.12136612021858
DOORMAT FANCY FONT HOME SWEET HOME,21593.74,3245,502,9.514820717131473
DOORMAT FRIENDSHIP ,451.10999999999996,27,17,16.712352941176473
DOORMAT HEARTS,22114.42,3416,592,9.247993254637437
DOORMAT HOME SWEET HOME BLUE ,9943.7,1619,285,8.34332167832168
DOORMAT I LOVE LONDON,2678.96,364,102,9.895098039215686
DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,8.776284153005465
DOORMAT MERRY CHRISTMAS RED ,5176.25,673,146,10.198027210884353
DOORMAT MULTICOLOUR STRIPE,9080.68,1491,201,9.6681592039801
DOORMAT NEIGHBOURHOOD WITCH ,2038.39,279,95,10.092842105263157
DOORMAT NEW ENGLAND,24108.39,3807,600,8.464717607973423
DOORMAT PEACE ON EARTH BLUE,3519.6600000000003,705,32,9.140625
DOORMAT RED RETROSPOT,28049.54,4088,696,8.953529411764706
DOORMAT RESPECTABLE HOUSE,5754.03,789,179,9.92530726256983
DOORMAT SPOTTY HOME SWEET HOME,13572.06,1752,480,9.204553014553015
DOORMAT TOPIARY,6009.84,904,205,8.774320388349514
DOORMAT UNION FLAG,25534.15,3751,616,8.891294498381876
DOORMAT UNION JACK GUNS AND ROSES,7580.82,1228,206,9.168653846153846
DOORMAT VINTAGE LEAF,4122.2,564,142,9.177535211267607
DOORMAT VINTAGE LEAVES DESIGN ,2881.18,430,91,7.847912087912087
DOORMAT WELCOME PUPPIES,12107.02,2064,287,8.819268292682928
DOORMAT WELCOME SUNRISE,2678.77,371,120,9.365499999999999
DOORMAT WELCOME TO OUR HOME,11539.06,1522,443,9.598148984198644
DOORSTOP FOOTBALL DESIGN,539.9,152,67,4.666716417910448
DOORSTOP RACING CAR DESIGN,269.71,122,37,3.3035135135135136
DOORSTOP RETROSPOT HEART,6525.88,1594,296,4.5645945945945945
DOTCOMGIFTSHOP TEA TOWEL,23.089999999999996,13,2,2.4699999999999998
DOUBLE CERAMIC PARLOUR HOOK,91.30000000000001,22,5,4.15
DOUGHNUT LIP GLOSS ,13695.77,10395,344,1.345436046511628
DOVE DECORATION PAINTED ZINC ,754.0300000000001,2381,79,0.6304878048780488
DRAGONS BLOOD INCENSE,104.44,423,39,0.3507692307692308
DRAWER KNOB CERAMIC BLACK,1448.6699999999998,979,88,1.6273333333333335
DRAWER KNOB CERAMIC IVORY,3147.79,2155,190,1.646020942408377
DRAWER KNOB CERAMIC RED,1058.8999999999999,714,74,1.814864864864865
DRAWER KNOB CRACKLE GLAZE BLUE,2138.6299999999997,1207,134,1.9329629629629628
DRAWER KNOB CRACKLE GLAZE GREEN,2284.12,1340,154,1.8390909090909089
DRAWER KNOB CRACKLE GLAZE IVORY,3595.3799999999997,2154,194,1.7784848484848483
DRAWER KNOB CRACKLE GLAZE PINK,2132.4999999999995,1266,153,1.8296078431372549
DRAWER KNOB VINTAGE GLASS BALL,760.8000000000001,350,54,2.269814814814815
DRAWER KNOB VINTAGE GLASS HEXAGON,627.95,295,30,2.216666666666667
DRAWER KNOB VINTAGE GLASS STAR,1198.96,556,62,2.3271875
DROP DIAMANTE EARRINGS BLACK DIAMON,41.010000000000005,14,7,2.922857142857143
DROP DIAMANTE EARRINGS CRYSTAL,76.23,26,14,2.9235714285714285
DROP DIAMANTE EARRINGS GREEN,41.080000000000005,14,9,2.9255555555555555
DROP DIAMANTE EARRINGS PURPLE,73.53,25,14,2.934285714285714
DROP EARRINGS W FLOWER & LEAF,22.58,9,7,2.5171428571428573
DUSTY PINK CHRISTMAS TREE 30CM,1.25,1,1,1.25
DUSTY PINK CHRISTMAS TREE 60CM,26.550000000000004,9,2,2.95
Dad's Cab Electronic Meter,16.94,2,2,8.47
Dotcomgiftshop Gift Voucher £10.00,74.97,9,8,8.33
Dotcomgiftshop Gift Voucher £100.00,83.33,1,1,83.33
Dotcomgiftshop Gift Voucher £20.00,167.05,10,9,16.708888888888893
Dotcomgiftshop Gift Voucher £30.00,175.53,7,7,25.075714285714287
Dotcomgiftshop Gift Voucher £40.00,100.69999999999999,3,3,33.56666666666666
Dotcomgiftshop Gift Voucher £50.00,167.56,4,4,41.89
Dr. Jam's Arouzer Stress Ball,8.34,2,2,4.17
EASTER BUNNY GARLAND OF FLOWERS,273.64,567,79,0.631625
EASTER BUNNY HANGING GARLAND,133.23,68,23,3.0243478260869567
EASTER BUNNY WITH BASKET ON BACK,72.63,108,20,0.7271428571428571
EASTER BUNNY WREATH,138.6,28,10,4.95
EASTER CRAFT 4 CHICKS ,3917.45,1933,186,2.255079365079365
EASTER CRAFT IVY WREATH WITH CHICK,1.95,1,1,1.95
EASTER DECORATION EGG BUNNY ,673.17,836,83,1.094470588235294
EASTER DECORATION HANGING BUNNY,595.85,1887,92,0.5661616161616162
EASTER DECORATION NATURAL CHICK,363.55,536,64,0.7798571428571429
EASTER DECORATION SITTING BUNNY,452.79999999999995,529,75,1.0614285714285714
EASTER TIN BUCKET,946.93,408,41,2.684878048780488
EASTER TIN BUNNY BOUQUET,2003.07,1203,158,1.9235
EASTER TIN CHICKS IN GARDEN,522.93,305,50,2.0107999999999997
EASTER TIN CHICKS PINK DAISY,1017.7699999999999,589,107,1.9718691588785044
EASTER TIN KEEPSAKE,1860.7799999999997,1126,136,1.9434306569343065
EASTER TREE YELLOW BIRDS,929.44,131,63,8.020793650793651
EAU DE NIL LOVE BIRD CANDLE,452.86,429,46,1.218913043478261
EAU DE NILE HEART SHAPE PHOTO FRAME,555.1199999999999,329,38,2.337105263157895
EAU DE NILE JEWELLED PHOTOFRAME,525.0,298,22,2.092
EAU DE NILE JEWELLED T-LIGHT HOLDER,70.27,79,11,0.9918181818181818
ECONOMY HOLIDAY PURSE,41.53,30,17,1.7123529411764706
ECONOMY LUGGAGE TAG,246.84,158,62,1.63984375
EDWARDIAN DROP EARRINGS JET BLACK,90.2,24,20,3.7600000000000002
EDWARDIAN HEART PHOTO FRAME,709.5400000000001,160,44,5.090909090909091
EDWARDIAN PARASOL BLACK,16915.72,2931,383,7.411148825065275
EDWARDIAN PARASOL NATURAL,23737.97,4077,540,7.8068265682656826
EDWARDIAN PARASOL PINK,4767.400000000001,809,170,7.292470588235294
EDWARDIAN PARASOL RED,10021.42,1710,326,7.003669724770643
EDWARDIAN PHOTO FRAME,556.21,88,32,6.4440625
EGG CUP HENRIETTA HEN CREAM ,787.52,630,48,1.7454166666666666
EGG CUP HENRIETTA HEN PINK,291.58,211,37,1.823157894736842
EGG CUP MILKMAID HEIDI,1156.93,881,83,1.769759036144578
EGG CUP MILKMAID HELGA ,586.31,410,63,1.8453968253968254
EGG CUP MILKMAID INGRID,841.31,644,76,1.7567105263157894
EGG CUP NATURAL CHICKEN,621.49,932,125,1.0416666666666667
EGG FRYING PAN BLUE ,400.84000000000003,173,76,2.511578947368421
EGG FRYING PAN IVORY ,790.7800000000001,377,96,2.3288659793814435
EGG FRYING PAN MINT ,388.75,180,69,2.287971014492754
EGG FRYING PAN PINK ,519.25,225,85,2.604418604651163
EGG FRYING PAN RED ,915.4000000000001,431,109,2.3390825688073393
EIGHT PIECE CREEPY CRAWLIE SET,7.5,6,3,1.25
EIGHT PIECE DINOSAUR SET,185.18,125,35,1.6913513513513514
EIGHT PIECE SNAKE  SET,435.79,330,84,1.4801176470588235
ELEPHANT BIRTHDAY CARD ,474.78,1110,95,0.5482105263157895
ELEPHANT CARNIVAL POUFFE,1299.83,63,47,21.961489361702128
ELEPHANT CLIP W SUCTION CUP,6.72,16,4,0.42
"ELEPHANT, BIRTHDAY CARD, ",945.46,2210,167,0.5207185628742514
ELVIS WALLHANGING / CURTAIN,69.84,52,8,1.5525
EMBOSSED GLASS TEALIGHT HOLDER,3273.5,2546,211,1.5488151658767773
EMBOSSED HEART TRINKET BOX,547.27,246,48,2.623125
EMBROIDERED RIBBON REEL CLAIRE,792.31,224,24,4.484583333333333
EMBROIDERED RIBBON REEL DAISY ,1164.98,579,71,2.3925
EMBROIDERED RIBBON REEL EMILY ,1252.01,571,98,2.3309090909090906
EMBROIDERED RIBBON REEL RACHEL ,980.41,361,44,3.0959090909090907
EMBROIDERED RIBBON REEL REBECCA ,996.38,334,63,3.4480952380952385
EMBROIDERED RIBBON REEL ROSIE,975.24,500,57,2.3164912280701753
EMBROIDERED RIBBON REEL RUBY ,600.55,167,32,3.9675
EMBROIDERED RIBBON REEL SALLY ,977.39,478,74,2.349189189189189
EMBROIDERED RIBBON REEL SOPHIE  ,1058.6,296,42,3.848181818181818
EMBROIDERED RIBBON REEL SUSIE ,1114.26,566,70,2.306
EMERGENCY FIRST AID TIN ,1572.27,1088,245,1.9077551020408163
EMPIRE BIRTHDAY CARD,538.72,1206,146,0.5998639455782312
EMPIRE DESIGN ROSETTE,3606.4199999999996,4244,28,1.227857142857143
EMPIRE GIFT WRAP,1373.5,3375,106,0.41792452830188676
EMPIRE TISSUE BOX,1030.1000000000001,1983,167,0.958502994011976
EMPIRE UNION JACK TV DINNER TRAY,2839.21,880,125,6.91288
ENAMEL BLUE RIM BISCUIT BIN,530.49,103,44,5.912272727272727
ENAMEL BLUE RIM COFFEE CONTAINER,174.09,152,26,1.6965384615384616
ENAMEL BLUE RIM TEA CONTAINER,9.18,8,3,1.6766666666666667
ENAMEL BOWL PANTRY,30.0,24,2,1.25
ENAMEL BREAD BIN CREAM,12358.33,873,454,15.894339207048457
ENAMEL COLANDER CREAM,2346.1200000000003,460,166,5.719939759036144
ENAMEL DINNER PLATE PANTRY,19.799999999999997,12,1,1.65
ENAMEL FIRE BUCKET CREAM,1854.76,246,114,8.209649122807017
ENAMEL FLOWER JUG CREAM,12647.26,2106,506,6.567013752455796
ENAMEL JUG PANTRY,30.0,8,2,3.75
ENAMEL MEASURING JUG CREAM,5507.18,1262,376,4.848253968253968
ENAMEL MUG PANTRY,15.0,12,1,1.25
ENAMEL PINK COFFEE CONTAINER,640.0899999999999,633,75,1.6557894736842105
ENAMEL PINK TEA CONTAINER,525.39,429,71,2.205277777777778
ENAMEL WASH BOWL CREAM,2855.21,742,208,4.903253588516746
ENAMEL WATERING CAN CREAM,3241.34,617,195,5.763367346938776
ENCHANTED BIRD COATHANGER 5 HOOK,3974.32,833,241,5.533209876543211
ENCHANTED BIRD PLANT CAGE,640.72,186,48,4.039791666666667
ENGLISH ROSE GARDEN SECATEURS,2048.66,2018,212,1.5555555555555556
ENGLISH ROSE HOT WATER BOTTLE,7292.45,1605,375,5.359421052631578
ENGLISH ROSE METAL WASTE BIN,59.0,20,11,2.95
ENGLISH ROSE NOTEBOOK A6 SIZE,186.56,399,21,0.6776190476190477
ENGLISH ROSE NOTEBOOK A7 SIZE,1420.96,3152,345,0.540458452722063
ENGLISH ROSE SCENTED HANGING FLOWER,665.2,548,114,1.8998260869565216
ENGLISH ROSE SCENTED HANGING HEART,17.0,4,2,4.25
ENGLISH ROSE SMALL SCENTED FLOWER,197.43,213,45,1.1552173913043478
ENGLISH ROSE SPIRIT LEVEL ,964.38,978,118,1.7283898305084744
ENVELOPE 50 BLOSSOM IMAGES,600.29,1077,158,0.6770440251572326
ENVELOPE 50 CURIOUS IMAGES,26.17,49,10,0.6154545454545454
ENVELOPE 50 ROMANTIC IMAGES,13.58,16,8,0.8477777777777777
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,395.61,5884,30,0.27483870967741936
ETCHED GLASS COASTER,825.49,1618,71,0.8383561643835616
ETCHED GLASS STAR TREE DECORATION,1.25,1,1,1.25
EUCALYPTUS & PINECONE  WREATH,1511.2600000000002,378,77,5.135454545454546
FAIRY CAKE BIRTHDAY CANDLE SET,1622.24,440,92,4.016630434782608
FAIRY CAKE DESIGN UMBRELLA,1832.42,454,134,5.066865671641791
FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.280000000002,10241,262,2.3184790874524714
FAIRY CAKE NOTEBOOK A5 SIZE,54.04,55,12,1.3225
FAIRY CAKES NOTEBOOK A6 SIZE,850.2,1332,155,0.9028205128205128
FAIRY CAKES NOTEBOOK A7 SIZE,892.19,2107,179,0.5567777777777778
FAIRY DREAMS INCENSE ,313.31,1264,101,0.3538613861386139
FAIRY SOAP SOAP HOLDER,478.83,266,76,2.053421052631579
FAIRY TALE COTTAGE NIGHT LIGHT,1979.34,976,115,2.5624137931034485
FAIRY TALE COTTAGE NIGHTLIGHT,3626.45,2093,94,2.392736842105263
FAMILY ALBUM WHITE PICTURE FRAME,10345.76,1197,372,10.152849462365591
FAMILY PHOTO FRAME CORNICE,8258.59,867,260,10.96038314176245
FAN BLACK FRAME ,41.47,143,12,0.29
"FANCY FONT BIRTHDAY CARD, ",2085.89,4922,323,0.509969040247678
FANCY FONTS BIRTHDAY WRAP,3409.0,8550,230,0.4182608695652174
FANNY'S REST STOPMETAL SIGN,1217.73,508,141,2.8935664335664337
FAUX FUR CHOCOLATE THROW,1474.74,87,49,18.740408163265304
FAWN AND MUSHROOM GREETING CARD,62.06,128,19,0.6605263157894736
FAWN BLUE HOT WATER BOTTLE,11443.87,3307,490,4.10572
"FEATHER PEN,COAL BLACK",1406.56,2688,175,0.7219886363636363
"FEATHER PEN,HOT PINK",2000.06,3842,239,0.6593305439330543
"FEATHER PEN,LIGHT PINK",1069.1399999999999,2059,149,0.6530666666666666
FELT EGG COSY BLUE RABBIT ,577.4399999999999,552,104,1.2758878504672895
FELT EGG COSY CHICKEN,950.4599999999999,1023,137,1.1047887323943661
FELT EGG COSY LADYBIRD ,195.97,326,51,1.0479245283018868
FELT EGG COSY WHITE RABBIT ,544.7099999999999,579,107,1.1352727272727272
FELT FARM ANIMAL CHICKEN,387.9,286,50,1.6088235294117645
FELT FARM ANIMAL HEN,332.84,481,44,1.0475555555555556
FELT FARM ANIMAL RABBIT,743.89,912,77,1.325194805194805
FELT FARM ANIMAL SHEEP,280.42,373,42,1.0997727272727273
FELT FARM ANIMAL WHITE BUNNY ,736.98,1561,96,1.0378571428571428
FELT TOADSTOOL  SMALL,602.63,629,77,1.185844155844156
FELT TOADSTOOL LARGE,836.8000000000001,657,61,1.6237704918032787
FELTCRAFT 6 FLOWER FRIENDS,12357.08,6070,547,2.455298372513562
FELTCRAFT BOY JEAN-PAUL KIT,1884.76,366,127,5.303149606299213
FELTCRAFT BUTTERFLY HEARTS,8621.14,6226,481,1.6384444444444444
FELTCRAFT CHRISTMAS FAIRY,7890.25,1915,321,4.549082568807339
FELTCRAFT CUSHION BUTTERFLY,10110.83,2759,348,4.278142857142857
FELTCRAFT CUSHION OWL,12413.89,3373,470,4.162959830866807
FELTCRAFT CUSHION RABBIT,11204.97,3086,386,4.297686375321336
FELTCRAFT DOLL EMILY,3953.4800000000005,1340,267,3.327977528089888
FELTCRAFT DOLL MARIA,564.9200000000001,196,48,3.0626530612244904
FELTCRAFT DOLL MOLLY,12001.59,4509,331,3.2667267267267266
FELTCRAFT DOLL ROSIE,5007.35,1701,301,3.38049504950495
FELTCRAFT GIRL AMELIE KIT,5059.14,1007,275,5.402599277978339
FELTCRAFT GIRL NICOLE KIT,3422.4,668,182,5.279782608695652
FELTCRAFT HAIRBAND PINK AND BLUE,774.55,856,161,1.0627777777777776
FELTCRAFT HAIRBAND PINK AND PURPLE,789.78,873,150,1.0496078431372549
FELTCRAFT HAIRBAND RED AND BLUE,830.52,918,161,1.0437037037037036
FELTCRAFT HAIRBANDS PINK AND WHITE ,872.67,933,148,1.1069127516778523
FELTCRAFT PRINCESS CHARLOTTE DOLL,9216.16,2362,449,4.118048245614035
FELTCRAFT PRINCESS LOLA DOLL,7491.83,2001,413,4.061346153846154
FELTCRAFT PRINCESS OLIVIA DOLL,5801.47,1563,290,4.235924657534247
FENG SHUI PILLAR CANDLE,630.23,3317,65,0.19
FILIGREE DIAMANTE CHAIN,12.48,1,1,12.48
FILIGREE DIAMANTE EARRINGS,55.02,13,9,4.224444444444445
FILIGREE HEART BIRD WHITE ,1960.0,1492,125,1.7907142857142857
FILIGREE HEART BUTTERFLY WHITE ,2070.06,1642,117,1.5737606837606837
FILIGREE HEART DAISY WHITE,1596.67,1247,98,1.5736363636363635
FILIGRIS HEART WITH BUTTERFLY,4848.13,3903,212,1.4722374429223746
FINE SILVER NECKLACE W PASTEL FLOWE,95.35000000000001,17,7,7.192857142857143
FINE WICKER HEART ,3301.73,2642,237,1.5268487394957984
FIRE POLISHED GLASS BRACELET BLACK,22.48,6,6,3.7466666666666666
FIRE POLISHED GLASS BRACELET GREEN,78.69,21,9,3.743333333333333
FIRE POLISHED GLASS BRACELET MONTAN,41.31,11,6,3.76
FIRE POLISHED GLASS BRACELET RED,29.96,8,3,3.736666666666667
FIRE POLISHED GLASS NECKL BRONZE,17.85,3,3,5.95
FIRE POLISHED GLASS NECKL GOLD,5.95,1,1,5.95
FIRE POLISHED GLASS NECKL GREEN,35.160000000000004,6,6,5.86
FIRST AID TIN,3722.23,1161,166,3.5810119047619047
FIRST CLASS HOLIDAY PURSE ,90.42,31,20,2.879
FIRST CLASS LUGGAGE TAG ,193.59,152,49,1.385
FIRST CLASS PASSPORT COVER ,194.94,93,43,2.251860465116279
FIVE CATS HANGING DECORATION,879.6700000000001,286,89,3.65561797752809
FIVE HEART HANGING DECORATION,1541.6200000000001,462,142,3.984685314685315
FLAG OF ST GEORGE ,37.95,23,7,1.65
FLAG OF ST GEORGE CAR FLAG,12.16,27,2,0.625
FLAG OF ST GEORGE CHAIR,185.3,38,8,5.525
FLAMES SUNGLASSES PINK LENSES,95.1,52,8,2.145
FLOOR CUSHION ELEPHANT CARNIVAL,718.14,69,35,12.1
FLOOR LAMP SHADE WOOD BASE,312.7,33,13,10.543076923076923
FLORAL BATHROOM SET,75.0,20,11,3.75
FLORAL BLUE MONSTER,21.25,5,4,4.25
FLORAL FOLK STATIONERY SET,3355.84,1937,425,2.024824355971897
FLORAL PINK MONSTER,187.54,43,16,5.078235294117647
FLORAL SOFT CAR TOY,230.81,54,30,4.7219999999999995
FLOWER BLUE CLOCK WITH SUCKER,33.64,116,8,0.29
FLOWER BURST SILVER RING CRYSTAL,48.71,13,9,3.7455555555555557
FLOWER FAIRY 5 DRAWER LINERS,150.45,59,20,2.55
FLOWER FAIRY 5 SUMMER DRAW LINERS,15.299999999999999,6,1,2.55
FLOWER FAIRY INCENSE BOUQUET,32.349999999999994,61,5,0.9039999999999999
"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",267.75,105,25,2.55
FLOWER GARLAND NECKLACE RED,47.7,6,4,7.95
"FLOWER GLASS GARLAND NECKL.36""BLACK",95.35000000000001,12,5,7.94
"FLOWER GLASS GARLAND NECKL.36""BLUE",71.4,9,5,7.92
"FLOWER GLASS GARLAND NECKL.36""GREEN",31.8,4,2,7.95
"FLOWER GLASS GARLD NECKL36""AMETHYST",110.95,14,11,7.922727272727273
"FLOWER GLASS GARLD NECKL36""TURQUOIS",64.08,8,5,8.046000000000001
FLOWER PURPLE CLOCK W/SUCKER,4.25,5,3,0.85
FLOWER PURPLE CLOCK WITH SUCKER,4.35,15,3,0.29
FLOWER SHOP DESIGN MUG,1.65,1,1,1.65
FLOWER VINE RAFFIA FOOD COVER,1470.32,381,140,4.109357142857142
FLOWERS  STICKERS,245.35999999999999,257,61,1.159344262295082
FLOWERS CHANDELIER T-LIGHT HOLDER,2879.37,960,38,6.182564102564102
FLOWERS HANDBAG blue and orange,61.25,49,3,1.25
FLOWERS TILE COASTER,327.79999999999995,968,39,0.5441025641025641
FLOWERS TILE HOOK,80.16000000000001,59,13,1.907142857142857
FLUTED ANTIQUE CANDLE HOLDER,2622.93,2785,206,1.1530582524271844
FLYING PIG WATERING CAN,466.95000000000005,193,47,3.2604166666666665
FOLDING BUTTERFLY MIRROR HOT PINK ,1495.24,1867,152,1.0685620915032679
